"Id","Imp_Innov","Imp_ConstCom","Imp_CreatCom","Imp_TimelyInf","Imp_SaveMT","Imp_SaveML","Imp_TaskMgm","Imp_DeviceSt","Imp_Photo","Imp_Wellness","Imp_Athlete","Imp_Style","WTP","iPhone","CompBuy","FB_Insta","Twit","Snap","YouTube","Pod_radio","TV","NewsP","AmznP","Age","Degree","Income","Occupation","Gender"
1,3,3,5,2,4,4,3,3,3,2,3,3,200,"other smartphone","No","Yes","No","No","No","No","Yes","No","Yes",38,"Undergraduate degree","$40k - $70k","Advertising/public relations","Female"
2,5,6,2,6,2,4,6,6,2,5,3,1,350,"iPhone","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",38,"Master’s degree or higher","$71k – $100k","Health services","Male"
3,7,7,3,4,2,4,4,4,1,6,4,1,220,"other smartphone","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No",42,"Undergraduate degree","$71k – $100k","Health services","Male"
4,4,7,4,5,3,3,4,5,1,5,4,4,320,"iPhone","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",35,"Master’s degree or higher","> $175k","Health services","Male"
5,7,7,2,4,2,4,2,6,1,3,2,4,250,"other smartphone","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",36,"Undergraduate degree","$71k – $100k","Health services","Male"
6,3,2,6,1,5,4,3,2,4,2,4,3,140,"iPhone","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No",47,"Master’s degree or higher","$40k - $70k","Sales","Female"
7,7,7,2,7,2,4,3,6,1,3,1,4,310,"iPhone","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",36,"Undergraduate degree","> $175k","Health services","Female"
8,5,7,3,5,2,4,6,5,3,2,2,3,340,"iPhone","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",41,"Undergraduate degree","$71k – $100k","Health services","Male"
9,3,6,4,5,3,5,6,3,3,5,3,5,150,"iPhone","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes",46,"Undergraduate degree","$40k - $70k","Retailing/services/restaurant","Male"
10,5,5,7,6,5,4,6,3,4,5,5,3,240,"other smartphone","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes",28,"Undergraduate degree","$71k – $100k","Technology","Male"
11,5,6,7,5,4,5,6,3,1,7,6,6,290,"iPhone","No","Yes","No","No","Yes","No","Yes","Yes","Yes",30,"Undergraduate degree","$71k – $100k","Health services","Female"
12,4,7,4,1,5,7,6,4,3,7,6,6,290,"iPhone","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",32,"Master’s degree or higher","$101k - $175k","Health services","Female"
13,7,7,1,7,2,3,4,4,1,4,2,4,220,"iPhone","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No",40,"Master’s degree or higher","$71k – $100k","Health services","Male"
14,7,7,2,5,1,3,3,5,1,3,2,3,200,"iPhone","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No",37,"Master’s degree or higher","$71k – $100k","Small-medium business/self-employed","Male"
15,5,4,4,2,5,7,3,5,3,6,7,6,220,"iPhone","No","Yes","No","No","No","Yes","Yes","No","Yes",25,"Undergraduate degree","$40k - $70k","Health services","Female"
